,country,count
0,Afghanistan,189
1,Albania,121
2,Algeria,11287
3,American Samoa,1
4,Angola,306760
5,Antigua and Barbuda,8
6,Argentina,36806
7,Armenia,281
8,Australia,256358
9,Austria,627
10,Azerbaijan,828
11,Bahamas,149
12,Bahrain,2
13,Bangladesh,2930
14,Barbados,33
15,Belarus,3285
16,Belgium,493
17,Belize,1127
18,Benin,16038
19,Bhutan,403
20,Bolivia,28747
21,Bosnia and Herzegovina,308
22,Botswana,7298
23,Brazil,311336
24,British Virgin Islands,1
25,Brunei Darussalam,32
26,Bulgaria,1706
27,Burkina Faso,12600
28,Burma,68367
29,Burundi,522
30,Cambodia,40202
31,Cameroon,39290
32,Canada,79175
33,Cape Verde,507
34,Cayman Islands,1
35,Central African Republic,160273
36,Chad,41929
37,Chile,7146
38,China,150539
39,Colombia,29631
40,Comoros,42
41,Congo,18940
42,Costa Rica,1340
43,Cote d'Ivoire,30274
44,Croatia,177
45,Cuba,4547
46,Cyprus,55
47,Czech Republic,256
48,Democratic Republic of the Congo,424430
49,Denmark,79
50,Djibouti,80
51,Dominican Republic,1518
52,Ecuador,2374
53,Egypt,1678
54,El Salvador,1211
55,Equatorial Guinea,250
56,Eritrea,267
57,Estonia,26
58,Ethiopia,46642
59,Falkland Islands (Malvinas),6
60,Fiji,990
61,Finland,124
62,France,1936
63,French Guiana,282
64,French Polynesia,13
65,Gabon,2088
66,Gambia,750
67,Georgia,603
68,Germany,2246
69,Ghana,47092
70,Greece,1373
71,Greenland,17
72,Guadeloupe,8
73,Guam,14
74,Guatemala,7685
75,Guinea,77750
76,Guinea-Bissau,5187
77,Guyana,1861
78,Haiti,259
79,Heard Island and McDonald Islands,2
80,Honduras,8118
81,Hong Kong,7
82,Hungary,591
83,Iceland,8236
84,India,76377
85,Indonesia,114811
86,Iran (Islamic Republic of),15920
87,Iraq,40074
88,Ireland,29
89,Israel,82
90,Italy,4900
91,Jamaica,237
92,Japan,2113
93,Jordan,33
94,Kazakhstan,40496
95,Kenya,2517
96,Kiribati,3
97,"Korea, Democratic People's Republic of",4631
98,"Korea, Republic of",761
99,Kuwait,1528
100,Kyrgyzstan,394
101,Lao People's Democratic Republic,42564
102,Latvia,110
103,Lebanon,40
104,Lesotho,622
105,Liberia,11056
106,Libyan Arab Jamahiriya,2554
107,Lithuania,83
108,Luxembourg,31
109,Madagascar,60310
110,Malawi,8882
111,Malaysia,8440
112,Maldives,12
113,Mali,30804
114,Martinique,5
115,Mauritania,210
116,Mauritius,69
117,Mexico,41030
118,Mongolia,3203
119,Montenegro,65
120,Montserrat,1
121,Morocco,193
122,Mozambique,153742
123,Namibia,11566
124,Nepal,3402
125,Netherlands,277
126,Netherlands Antilles,11
127,New Caledonia,215
128,New Zealand,827
129,Nicaragua,5481
130,Niger,769
131,Nigeria,57430
132,Niue,1
133,None,29791
134,Northern Mariana Islands,3
135,Norway,128
136,Oman,800
137,Pakistan,10369
138,Palestine,24
139,Panama,1744
140,Papua New Guinea,6779
141,Paraguay,29756
142,Peru,10701
143,Philippines,5395
144,Poland,997
145,Portugal,622
146,Puerto Rico,91
147,Qatar,578
148,Republic of Moldova,1820
149,Reunion,12
150,Romania,4295
151,Russia,346474
152,Rwanda,137
153,Saint Kitts and Nevis,13
154,Saint Lucia,1
155,Samoa,28
156,Sao Tome and Principe,2
157,Saudi Arabia,2287
158,Senegal,17548
159,Serbia,757
160,Sierra Leone,35260
161,Singapore,8
162,Slovakia,358
163,Slovenia,8
164,Solomon Islands,24
165,Somalia,671
166,South Africa,49697
167,Spain,2601
168,Sri Lanka,1369
169,Sudan,217817
170,Suriname,652
171,Svalbard,1
172,Swaziland,2349
173,Sweden,692
174,Switzerland,68
175,Syrian Arab Republic,808
176,Taiwan,335
177,Tajikistan,153
178,Thailand,30786
179,The former Yugoslav Republic of Macedonia,586
180,Timor-Leste,1147
181,Togo,9365
182,Tonga,13
183,Trinidad and Tobago,137
184,Tunisia,581
185,Turkey,6767
186,Turkmenistan,3443
187,Uganda,17841
188,Ukraine,51633
189,United Arab Emirates,399
190,United Kingdom,624
191,United Republic of Tanzania,76014
192,United States,98786
193,United States Minor Outlying Islands,7
194,Uruguay,873
195,Uzbekistan,3155
196,Vanuatu,601
197,Venezuela,59104
198,Viet Nam,23176
199,Western Sahara,3
200,Yemen,444
201,Zambia,199773
202,Zimbabwe,24467
