,country,count,rank,year
24,Brazil,583605,1,2010
47,Democratic Republic of the Congo,461766,2,2010
4,Angola,337288,3,2010
150,Russia,302461,4,2010
200,Zambia,217814,5,2010
168,Sudan,169614,6,2010
21,Bolivia,151183,7,2010
121,Mozambique,149905,8,2010
34,Central African Republic,149104,9,2010
9,Australia,119985,10,2010
189,United Republic of Tanzania,111703,11,2010
37,China,102871,12,2010
190,United States,98205,13,2010
28,Burma,91540,14,2010
130,Nigeria,77935,15,2010
83,India,76699,16,2010
75,Guinea,68510,17,2010
107,Madagascar,64755,18,2010
93,Kazakhstan,63032,19,2010
7,Argentina,62682,20,2010
99,Lao People's Democratic Republic,58758,21,2010
165,South Africa,56409,22,2010
116,Mexico,55133,23,2010
32,Canada,52692,24,2010
68,Ghana,52300,25,2010
35,Chad,51664,26,2010
31,Cameroon,51456,27,2010
196,Venezuela,47070,28,2010
57,Ethiopia,43047,29,2010
140,Paraguay,41863,30,2010
42,Cote d'Ivoire,40335,31,2010
111,Mali,39103,32,2010
23,Botswana,35404,33,2010
201,Zimbabwe,34013,34,2010
30,Cambodia,33508,35,2010
176,Thailand,33319,36,2010
131,None,29866,37,2010
86,Iraq,28569,38,2010
197,Viet Nam,25408,39,2010
85,Iran (Islamic Republic of),25039,40,2010
38,Colombia,24181,41,2010
40,Congo,22828,42,2010
27,Burkina Faso,22012,43,2010
84,Indonesia,20742,44,2010
157,Senegal,20606,45,2010
19,Benin,20405,46,2010
141,Peru,19849,47,2010
186,Ukraine,19807,48,2010
185,Uganda,19791,49,2010
159,Sierra Leone,19191,50,2010
122,Namibia,18247,51,2010
183,Turkey,13653,52,2010
179,Togo,12657,53,2010
2,Algeria,10568,54,2010
108,Malawi,10235,55,2010
74,Guatemala,9946,56,2010
142,Philippines,9393,57,2010
135,Pakistan,8084,58,2010
36,Chile,7070,59,2010
139,Papua New Guinea,6607,60,2010
103,Liberia,6105,61,2010
44,Cuba,5750,62,2010
109,Malaysia,5555,63,2010
89,Italy,4817,64,2010
76,Guinea-Bissau,4678,65,2010
128,Nicaragua,4637,66,2010
79,Honduras,4582,67,2010
149,Romania,4527,68,2010
144,Portugal,4245,69,2010
104,Libyan Arab Jamahiriya,4106,70,2010
123,Nepal,3180,71,2010
14,Bangladesh,2984,72,2010
156,Saudi Arabia,2827,73,2010
184,Turkmenistan,2713,74,2010
166,Spain,2681,75,2010
64,Gabon,2546,76,2010
94,Kenya,2365,77,2010
170,Swaziland,2171,78,2010
91,Japan,2113,79,2010
51,Ecuador,1995,80,2010
194,Uzbekistan,1865,81,2010
67,Germany,1827,82,2010
26,Bulgaria,1812,83,2010
77,Guyana,1763,84,2010
11,Azerbaijan,1711,85,2010
146,Qatar,1711,86,2010
193,Uruguay,1627,87,2010
61,France,1616,88,2010
16,Belarus,1594,89,2010
158,Serbia,1559,90,2010
173,Syrian Arab Republic,1398,91,2010
52,Egypt,1383,92,2010
29,Burundi,1348,93,2010
50,Dominican Republic,1324,94,2010
138,Panama,1324,95,2010
117,Mongolia,1270,96,2010
113,Mauritania,1209,97,2010
199,Yemen,1204,98,2010
129,Niger,1107,99,2010
65,Gambia,1084,100,2010
167,Sri Lanka,1077,101,2010
18,Belize,1038,102,2010
66,Georgia,997,103,2010
8,Armenia,988,104,2010
41,Costa Rica,972,105,2010
69,Greece,913,106,2010
188,United Kingdom,854,107,2010
127,New Zealand,761,108,2010
53,El Salvador,740,109,2010
102,Lesotho,731,110,2010
143,Poland,718,111,2010
95,"Korea, Democratic People's Republic of",661,112,2010
59,Fiji,657,113,2010
164,Somalia,647,114,2010
97,Kuwait,625,115,2010
0,Afghanistan,590,116,2010
10,Austria,579,117,2010
147,Republic of Moldova,574,118,2010
177,The former Yugoslav Republic of Macedonia,511,119,2010
96,"Korea, Republic of",509,120,2010
20,Bhutan,502,121,2010
195,Vanuatu,488,122,2010
82,Iceland,457,123,2010
134,Oman,451,124,2010
169,Suriname,448,125,2010
187,United Arab Emirates,432,126,2010
98,Kyrgyzstan,412,127,2010
17,Belgium,401,128,2010
161,Slovakia,376,129,2010
62,French Guiana,337,130,2010
151,Rwanda,327,131,2010
181,Trinidad and Tobago,325,132,2010
81,Hungary,312,133,2010
174,Taiwan,303,134,2010
1,Albania,302,135,2010
88,Israel,280,136,2010
182,Tunisia,279,137,2010
90,Jamaica,268,138,2010
55,Eritrea,247,139,2010
124,Netherlands,240,140,2010
120,Morocco,236,141,2010
78,Haiti,228,142,2010
175,Tajikistan,227,143,2010
87,Ireland,215,144,2010
43,Croatia,209,145,2010
46,Czech Republic,207,146,2010
22,Bosnia and Herzegovina,202,147,2010
148,Reunion,200,148,2010
101,Lebanon,167,149,2010
119,Montserrat,162,150,2010
171,Sweden,149,151,2010
60,Finland,137,152,2010
54,Equatorial Guinea,133,153,2010
126,New Caledonia,108,154,2010
178,Timor-Leste,103,155,2010
45,Cyprus,97,156,2010
105,Lithuania,96,157,2010
118,Montenegro,94,158,2010
133,Norway,94,159,2010
12,Bahamas,90,160,2010
25,Brunei Darussalam,64,161,2010
114,Mauritius,64,162,2010
48,Denmark,61,163,2010
100,Latvia,59,164,2010
145,Puerto Rico,58,165,2010
172,Switzerland,47,166,2010
49,Djibouti,45,167,2010
106,Luxembourg,42,168,2010
137,Palestine,42,169,2010
39,Comoros,40,170,2010
15,Barbados,30,171,2010
154,Samoa,26,172,2010
56,Estonia,23,173,2010
70,Greenland,18,174,2010
110,Maldives,18,175,2010
80,Hong Kong,17,176,2010
92,Jordan,17,177,2010
73,Guam,16,178,2010
63,French Polynesia,13,179,2010
155,Sao Tome and Principe,13,180,2010
58,Falkland Islands (Malvinas),12,181,2010
180,Tonga,12,182,2010
132,Northern Mariana Islands,10,183,2010
72,Guadeloupe,9,184,2010
163,Solomon Islands,9,185,2010
13,Bahrain,8,186,2010
160,Singapore,7,187,2010
162,Slovenia,7,188,2010
71,Grenada,6,189,2010
125,Netherlands Antilles,6,190,2010
191,United States Minor Outlying Islands,6,191,2010
112,Martinique,5,192,2010
153,Saint Lucia,3,193,2010
33,Cape Verde,2,194,2010
115,Mayotte,2,195,2010
192,United States Virgin Islands,2,196,2010
198,Western Sahara,2,197,2010
3,American Samoa,1,198,2010
5,Anguilla,1,199,2010
6,Antigua and Barbuda,1,200,2010
136,Palau,1,201,2010
152,Saint Kitts and Nevis,1,202,2010
