,country,count,rank,year
0,Afghanistan,198,138,2016
1,Albania,194,139,2016
2,Algeria,10065,54,2016
3,American Samoa,2,190,2016
4,Andorra,1,199,2016
5,Angola,348306,2,2016
6,Antigua and Barbuda,3,188,2016
7,Argentina,55358,20,2016
8,Armenia,355,124,2016
9,Australia,158925,8,2016
10,Austria,463,119,2016
11,Azerbaijan,1614,90,2016
12,Bahamas,265,131,2016
13,Bahrain,2,191,2016
14,Bangladesh,1911,85,2016
15,Barbados,10,179,2016
16,Belarus,833,106,2016
17,Belgium,609,110,2016
18,Belize,1153,93,2016
19,Benin,13787,48,2016
20,Bhutan,255,133,2016
21,Bolivia,68304,17,2016
22,Bosnia and Herzegovina,515,115,2016
23,Botswana,5925,63,2016
24,Brazil,334443,3,2016
25,Brunei Darussalam,79,154,2016
26,Bulgaria,2545,76,2016
27,Burkina Faso,13524,50,2016
28,Burma,51807,23,2016
29,Burundi,1017,98,2016
30,Cambodia,37317,29,2016
31,Cameroon,45230,25,2016
32,Canada,26949,36,2016
33,Cape Verde,1,200,2016
34,Central African Republic,196897,7,2016
35,Chad,56864,19,2016
36,Chile,7081,61,2016
37,China,97510,12,2016
38,Colombia,30339,32,2016
39,Comoros,17,176,2016
40,Congo,24443,40,2016
41,Cook Islands,1,201,2016
42,Costa Rica,1660,88,2016
43,Cote d'Ivoire,31546,31,2016
44,Croatia,241,135,2016
45,Cuba,4139,70,2016
46,Cyprus,61,160,2016
47,Czech Republic,206,137,2016
48,Democratic Republic of the Congo,512527,1,2016
49,Denmark,62,159,2016
50,Djibouti,44,164,2016
51,Dominican Republic,940,99,2016
52,Ecuador,5999,62,2016
53,Egypt,2756,75,2016
54,El Salvador,917,100,2016
55,Equatorial Guinea,268,129,2016
56,Eritrea,189,140,2016
57,Estonia,18,175,2016
58,Ethiopia,52573,22,2016
59,Falkland Islands (Malvinas),20,173,2016
60,Fiji,386,122,2016
61,Finland,147,146,2016
62,France,1901,86,2016
63,French Guiana,556,113,2016
64,French Polynesia,9,182,2016
65,Gabon,2488,78,2016
66,Gambia,792,108,2016
67,Georgia,605,111,2016
68,Germany,2217,80,2016
69,Ghana,45093,26,2016
70,Greece,1687,87,2016
71,Greenland,24,171,2016
72,Guadeloupe,1,202,2016
73,Guam,17,177,2016
74,Guatemala,10162,53,2016
75,Guinea,74843,15,2016
76,Guinea-Bissau,5212,66,2016
77,Guyana,2166,83,2016
78,Haiti,157,145,2016
79,Heard Island and McDonald Islands,6,184,2016
80,Honduras,8380,58,2016
81,Hong Kong,10,180,2016
82,Hungary,188,141,2016
83,India,88837,13,2016
84,Indonesia,23982,42,2016
85,Iran (Islamic Republic of),26205,38,2016
86,Iraq,53505,21,2016
87,Ireland,37,167,2016
88,Israel,138,148,2016
89,Italy,4973,67,2016
90,Jamaica,121,150,2016
91,Japan,2215,81,2016
92,Jordan,44,165,2016
93,Kazakhstan,22749,43,2016
94,Kenya,2532,77,2016
95,Kiribati,1,203,2016
96,"Korea, Democratic People's Republic of",510,116,2016
97,"Korea, Republic of",836,105,2016
98,Kuwait,1073,96,2016
99,Kyrgyzstan,482,118,2016
100,Lao People's Democratic Republic,42260,27,2016
101,Latvia,65,158,2016
102,Lebanon,111,151,2016
103,Lesotho,91,153,2016
104,Liberia,9089,56,2016
105,Libyan Arab Jamahiriya,2032,84,2016
106,Lithuania,42,166,2016
