,country,count,rank,year
107,Luxembourg,35,168,2016
108,Madagascar,75790,14,2016
109,Malawi,9872,55,2016
110,Malaysia,5620,64,2016
111,Maldives,16,178,2016
112,Mali,33542,30,2016
113,Malta,1,204,2016
114,Martinique,2,192,2016
115,Mauritania,387,121,2016
116,Mauritius,24,172,2016
117,Mayotte,2,193,2016
118,Mexico,64663,18,2016
119,"Micronesia, Federated States of",2,194,2016
120,Mongolia,1618,89,2016
121,Montenegro,125,149,2016
122,Montserrat,5,185,2016
123,Morocco,287,128,2016
124,Mozambique,132594,9,2016
125,Namibia,10182,52,2016
126,Nepal,7657,59,2016
127,Netherlands,290,127,2016
128,Netherlands Antilles,2,195,2016
129,New Caledonia,246,134,2016
130,New Zealand,637,109,2016
131,Nicaragua,5435,65,2016
132,Niger,1053,97,2016
133,Nigeria,73020,16,2016
134,Niue,2,196,2016
135,None,29536,35,2016
136,Northern Mariana Islands,10,181,2016
137,Norway,60,161,2016
138,Oman,892,102,2016
139,Pakistan,10950,51,2016
140,Palau,1,205,2016
141,Palestine,78,155,2016
142,Panama,2211,82,2016
143,Papua New Guinea,4254,69,2016
144,Paraguay,40170,28,2016
145,Peru,19311,45,2016
146,Philippines,7262,60,2016
147,Poland,567,112,2016
148,Portugal,4801,68,2016
149,Puerto Rico,49,163,2016
150,Qatar,407,120,2016
151,Republic of Moldova,1132,94,2016
152,Reunion,108,152,2016
153,Romania,3951,71,2016
154,Russia,293798,4,2016
155,Rwanda,345,125,2016
156,Saint Kitts and Nevis,5,186,2016
157,Saint Martin,1,206,2016
158,Saint Vincent and the Grenadines,2,197,2016
159,Samoa,32,169,2016
160,Sao Tome and Principe,3,189,2016
161,Saudi Arabia,2878,74,2016
162,Senegal,18815,46,2016
163,Serbia,806,107,2016
164,Sierra Leone,24371,41,2016
165,Singapore,7,183,2016
166,Slovakia,342,126,2016
167,Slovenia,19,174,2016
168,Solomon Islands,27,170,2016
169,Somalia,385,123,2016
170,South Africa,29991,33,2016
171,South Georgia South Sandwich Islands,51,162,2016
172,Spain,3214,73,2016
173,Sri Lanka,1465,92,2016
174,Sudan,236856,5,2016
175,Suriname,878,103,2016
176,Swaziland,876,104,2016
177,Sweden,170,142,2016
178,Switzerland,76,156,2016
179,Syrian Arab Republic,1545,91,2016
180,Taiwan,268,130,2016
181,Tajikistan,166,143,2016
182,Thailand,29770,34,2016
183,The former Yugoslav Republic of Macedonia,490,117,2016
184,Timor-Leste,163,144,2016
185,Togo,8886,57,2016
186,Tonga,5,187,2016
187,Trinidad and Tobago,145,147,2016
188,Tunisia,238,136,2016
189,Turkey,13554,49,2016
190,Turkmenistan,3315,72,2016
191,Uganda,26583,37,2016
192,Ukraine,25825,39,2016
193,United Arab Emirates,257,132,2016
194,United Kingdom,553,114,2016
195,United Republic of Tanzania,97692,11,2016
196,United States,112656,10,2016
197,United States Minor Outlying Islands,2,198,2016
198,Uruguay,893,101,2016
199,Uzbekistan,2392,79,2016
200,Vanuatu,1074,95,2016
201,Venezuela,50218,24,2016
202,Viet Nam,20753,44,2016
203,Yemen,68,157,2016
204,Zambia,214905,6,2016
205,Zimbabwe,18410,47,2016
