,country,count,rank,year
0,Afghanistan,247,139,2017
1,Albania,1653,89,2017
2,Algeria,10566,54,2017
3,American Samoa,1,201,2017
4,Andorra,2,197,2017
5,Angola,331875,3,2017
6,Antigua and Barbuda,2,198,2017
7,Argentina,60273,19,2017
8,Armenia,428,126,2017
9,Aruba,3,191,2017
10,Australia,272808,4,2017
11,Austria,573,115,2017
12,Azerbaijan,1695,87,2017
13,Bahamas,523,120,2017
14,Bahrain,3,192,2017
15,Bangladesh,1476,93,2017
16,Barbados,8,181,2017
17,Belarus,1211,98,2017
18,Belgium,528,119,2017
19,Belize,1276,97,2017
20,Benin,14270,48,2017
21,Bhutan,268,137,2017
22,Bolivia,57853,21,2017
23,Bosnia and Herzegovina,1951,85,2017
24,Botswana,14960,47,2017
25,Brazil,389080,2,2017
26,British Indian Ocean Territory,2,199,2017
27,Brunei Darussalam,16,172,2017
28,Bulgaria,2918,72,2017
29,Burkina Faso,13242,49,2017
30,Burma,47485,25,2017
31,Burundi,463,122,2017
32,Cambodia,22529,38,2017
33,Cameroon,44283,28,2017
34,Canada,94971,12,2017
35,Cape Verde,15,173,2017
36,Central African Republic,164242,8,2017
37,Chad,45929,27,2017
38,Chile,16502,46,2017
39,China,114071,11,2017
40,Colombia,21990,39,2017
41,Comoros,19,171,2017
42,Congo,18998,43,2017
43,Costa Rica,1044,101,2017
44,Cote d'Ivoire,25785,36,2017
45,Croatia,1477,92,2017
46,Cuba,6744,61,2017
47,Cyprus,41,164,2017
48,Czech Republic,199,144,2017
49,Democratic Republic of the Congo,455980,1,2017
50,Denmark,47,161,2017
51,Djibouti,36,165,2017
52,Dominica,2,200,2017
53,Dominican Republic,990,103,2017
54,Ecuador,3271,70,2017
55,Egypt,1626,90,2017
56,El Salvador,1680,88,2017
57,Equatorial Guinea,87,153,2017
58,Eritrea,163,147,2017
59,Estonia,11,176,2017
60,Ethiopia,52546,23,2017
61,Falkland Islands (Malvinas),13,175,2017
62,Fiji,491,121,2017
63,Finland,119,150,2017
64,France,2746,73,2017
65,French Guiana,217,141,2017
66,French Polynesia,14,174,2017
67,French Southern and Antarctic Lands,1,202,2017
68,Gabon,2130,81,2017
69,Gambia,1003,102,2017
70,Georgia,925,106,2017
71,Germany,2017,83,2017
72,Ghana,53842,22,2017
73,Greece,1494,91,2017
74,Greenland,134,149,2017
75,Guadeloupe,3,193,2017
76,Guam,3,194,2017
77,Guatemala,9366,57,2017
78,Guinea,77753,15,2017
79,Guinea-Bissau,3893,68,2017
80,Guyana,1465,94,2017
81,Haiti,209,142,2017
