,country,count,rank,year
174,Suriname,398,122,2013
11,Bahamas,396,123,2013
82,Hungary,388,124,2013
192,United Arab Emirates,382,125,2013
187,Tunisia,377,126,2013
155,Rwanda,350,127,2013
166,Slovakia,348,128,2013
60,Fiji,335,129,2013
78,Haiti,333,130,2013
183,Timor-Leste,321,131,2013
129,Netherlands,305,132,2013
124,Morocco,297,133,2013
179,Taiwan,290,134,2013
19,Bhutan,268,135,2013
21,Bosnia and Herzegovina,262,136,2013
92,Jamaica,262,137,2013
180,Tajikistan,253,138,2013
176,Sweden,243,139,2013
0,Afghanistan,218,140,2013
63,French Guiana,217,141,2013
61,Finland,212,142,2013
44,Croatia,205,143,2013
1,Albania,185,144,2013
56,Eritrea,184,145,2013
47,Czech Republic,183,146,2013
55,Equatorial Guinea,156,147,2013
186,Trinidad and Tobago,137,148,2013
90,Israel,135,149,2013
104,Lebanon,135,150,2013
131,New Caledonia,133,151,2013
149,Puerto Rico,128,152,2013
46,Cyprus,118,153,2013
138,Norway,111,154,2013
88,Ireland,89,155,2013
49,Denmark,82,156,2013
122,Montenegro,80,157,2013
108,Lithuania,66,158,2013
118,Mauritius,64,159,2013
103,Latvia,58,160,2013
177,Switzerland,42,161,2013
39,Comoros,35,162,2013
109,Luxembourg,35,163,2013
141,Palestine,27,164,2013
59,Falkland Islands (Malvinas),23,165,2013
95,Jordan,23,166,2013
168,Solomon Islands,22,167,2013
57,Estonia,21,168,2013
64,French Polynesia,21,169,2013
167,Slovenia,21,170,2013
24,Brunei Darussalam,19,171,2013
159,Samoa,18,172,2013
14,Barbados,17,173,2013
71,Greenland,15,174,2013
113,Maldives,15,175,2013
185,Tonga,14,176,2013
50,Djibouti,13,177,2013
81,Hong Kong,10,178,2013
152,Reunion,10,179,2013
73,Guam,9,180,2013
79,Heard Island and McDonald Islands,9,181,2013
137,Northern Mariana Islands,9,182,2013
165,Singapore,9,183,2013
123,Montserrat,6,184,2013
130,Netherlands Antilles,5,185,2013
157,Saint Kitts and Nevis,5,186,2013
12,Bahrain,4,187,2013
32,Cape Verde,4,188,2013
72,Guadeloupe,4,189,2013
160,Sao Tome and Principe,4,190,2013
196,United States Minor Outlying Islands,4,191,2013
83,Iceland,3,192,2013
119,Mayotte,3,193,2013
33,Cayman Islands,2,194,2013
3,Andorra,1,195,2013
5,Antigua and Barbuda,1,196,2013
41,Cook Islands,1,197,2013
89,Isle of Man,1,198,2013
94,Jersey,1,199,2013
115,Malta,1,200,2013
116,Martinique,1,201,2013
127,Nauru,1,202,2013
156,Saint Helena,1,203,2013
158,Saint Vincent and the Grenadines,1,204,2013
197,United States Virgin Islands,1,205,2013
