,country,count,rank,year
48,Democratic Republic of the Congo,468814,1,2013
4,Angola,342622,2,2013
154,Russia,235882,3,2013
23,Brazil,220358,4,2013
204,Zambia,216846,5,2013
173,Sudan,207639,6,2013
8,Australia,189749,7,2013
125,Mozambique,148783,8,2013
34,Central African Republic,146385,9,2013
37,China,117727,10,2013
195,United States,102336,11,2013
194,United Republic of Tanzania,91265,12,2013
120,Mexico,81672,13,2013
75,Guinea,77586,14,2013
110,Madagascar,71211,15,2013
84,India,71071,16,2013
27,Burma,69999,17,2013
31,Canada,67754,18,2013
6,Argentina,66508,19,2013
135,Nigeria,57365,20,2013
201,Venezuela,56014,21,2013
58,Ethiopia,53984,22,2013
85,Indonesia,53547,23,2013
69,Ghana,53044,24,2013
35,Chad,50406,25,2013
144,Paraguay,49679,26,2013
170,South Africa,49119,27,2013
29,Cambodia,45109,28,2013
43,Cote d'Ivoire,44006,29,2013
102,Lao People's Democratic Republic,39969,30,2013
30,Cameroon,37953,31,2013
87,Iraq,37817,32,2013
114,Mali,33988,33,2013
181,Thailand,31336,34,2013
164,Sierra Leone,30493,35,2013
20,Bolivia,29730,36,2013
40,Congo,25114,37,2013
190,Uganda,24990,38,2013
38,Colombia,23888,39,2013
205,Zimbabwe,22193,40,2013
96,Kazakhstan,20264,41,2013
18,Benin,18084,42,2013
162,Senegal,17967,43,2013
202,Viet Nam,17433,44,2013
86,Iran (Islamic Republic of),15205,45,2013
126,Namibia,15141,46,2013
26,Burkina Faso,14931,47,2013
74,Guatemala,13887,48,2013
191,Ukraine,13463,49,2013
145,Peru,12277,50,2013
22,Botswana,12083,51,2013
184,Togo,12056,52,2013
188,Turkey,11498,53,2013
111,Malawi,10514,54,2013
2,Algeria,9662,55,2013
140,Pakistan,9139,56,2013
80,Honduras,9047,57,2013
36,Chile,6706,58,2013
106,Liberia,6648,59,2013
45,Cuba,6274,60,2013
133,Nicaragua,6145,61,2013
143,Papua New Guinea,5037,62,2013
76,Guinea-Bissau,4550,63,2013
112,Malaysia,4527,64,2013
148,Portugal,4448,65,2013
52,Ecuador,4384,66,2013
146,Philippines,4162,67,2013
91,Italy,4105,68,2013
189,Turkmenistan,3728,69,2013
171,Spain,3433,70,2013
153,Romania,3399,71,2013
199,Uzbekistan,3098,72,2013
13,Bangladesh,3080,73,2013
97,Kenya,3063,74,2013
107,Libyan Arab Jamahiriya,2836,75,2013
178,Syrian Arab Republic,2752,76,2013
65,Gabon,2689,77,2013
25,Bulgaria,2514,78,2013
128,Nepal,2501,79,2013
161,Saudi Arabia,2271,80,2013
51,Dominican Republic,2111,81,2013
17,Belize,2053,82,2013
121,Mongolia,2007,83,2013
93,Japan,1957,84,2013
68,Germany,1859,85,2013
142,Panama,1831,86,2013
70,Greece,1813,87,2013
163,Serbia,1791,88,2013
175,Swaziland,1775,89,2013
42,Costa Rica,1721,90,2013
53,Egypt,1673,91,2013
62,France,1499,92,2013
54,El Salvador,1487,93,2013
77,Guyana,1480,94,2013
10,Azerbaijan,1239,95,2013
98,"Korea, Democratic People's Republic of",1208,96,2013
198,Uruguay,1195,97,2013
172,Sri Lanka,1137,98,2013
100,Kuwait,1082,99,2013
66,Gambia,1075,100,2013
15,Belarus,961,101,2013
134,Niger,948,102,2013
28,Burundi,848,103,2013
182,The former Yugoslav Republic of Macedonia,846,104,2013
169,Somalia,792,105,2013
132,New Zealand,783,106,2013
151,Republic of Moldova,695,107,2013
105,Lesotho,637,108,2013
147,Poland,629,109,2013
150,Qatar,610,110,2013
99,"Korea, Republic of",587,111,2013
200,Vanuatu,572,112,2013
9,Austria,569,113,2013
203,Yemen,549,114,2013
139,Oman,540,115,2013
193,United Kingdom,532,116,2013
67,Georgia,511,117,2013
16,Belgium,472,118,2013
117,Mauritania,446,119,2013
7,Armenia,443,120,2013
101,Kyrgyzstan,410,121,2013
