,country,count,rank,year
55,El Salvador,1400,85,2018
52,Dominican Republic,1351,86,2018
54,Egypt,1313,87,2018
146,Portugal,1313,88,2018
137,Oman,1301,89,2018
17,Belarus,1296,90,2018
12,Azerbaijan,1214,91,2018
132,Niger,1202,92,2018
174,Swaziland,1129,93,2018
43,Costa Rica,1117,94,2018
140,Panama,1107,95,2018
175,Sweden,1099,96,2018
100,"Korea, Republic of",973,97,2018
171,Sri Lanka,932,98,2018
67,Gambia,930,99,2018
198,Uruguay,912,100,2018
193,United Kingdom,910,101,2018
71,Greece,856,102,2018
19,Belize,847,103,2018
200,Vanuatu,790,104,2018
182,Timor-Leste,748,105,2018
18,Belgium,705,106,2018
99,"Korea, Democratic People's Republic of",683,107,2018
121,Mongolia,661,108,2018
145,Poland,638,109,2018
150,Reunion,624,110,2018
101,Kuwait,603,111,2018
173,Suriname,579,112,2018
181,The former Yugoslav Republic of Macedonia,542,113,2018
177,Syrian Arab Republic,521,114,2018
149,Republic of Moldova,494,115,2018
8,Armenia,487,116,2018
102,Kyrgyzstan,469,117,2018
60,Fiji,462,118,2018
130,New Zealand,459,119,2018
68,Georgia,433,120,2018
11,Austria,432,121,2018
148,Qatar,388,122,2018
178,Taiwan,386,123,2018
31,Burundi,367,124,2018
165,Slovakia,366,125,2018
128,Netherlands,363,126,2018
83,Hungary,299,127,2018
80,Haiti,298,128,2018
61,Finland,290,129,2018
124,Morocco,270,130,2018
63,French Guiana,259,131,2018
45,Croatia,240,132,2018
129,New Caledonia,236,133,2018
23,Bosnia and Herzegovina,235,134,2018
57,Eritrea,218,135,2018
48,Czech Republic,204,136,2018
1,Albania,200,137,2018
93,Jamaica,199,138,2018
106,Lesotho,197,139,2018
168,Somalia,189,140,2018
56,Equatorial Guinea,183,141,2018
21,Bhutan,168,142,2018
192,United Arab Emirates,163,143,2018
104,Latvia,142,144,2018
13,Bahamas,140,145,2018
136,Norway,139,146,2018
118,Mauritania,130,147,2018
0,Afghanistan,123,148,2018
89,Ireland,121,149,2018
204,Yemen,121,150,2018
122,Montenegro,119,151,2018
153,Rwanda,115,152,2018
91,Israel,94,153,2018
186,Tunisia,89,154,2018
110,Luxembourg,81,155,2018
176,Switzerland,80,156,2018
50,Denmark,77,157,2018
109,Lithuania,69,158,2018
179,Tajikistan,67,159,2018
185,Trinidad and Tobago,61,160,2018
58,Estonia,60,161,2018
147,Puerto Rico,56,162,2018
95,Jordan,51,163,2018
41,Comoros,45,164,2018
105,Lebanon,40,165,2018
47,Cyprus,39,166,2018
119,Mauritius,32,167,2018
158,Samoa,28,168,2018
16,Barbados,23,169,2018
139,Palestine,20,170,2018
51,Djibouti,19,171,2018
14,Bahrain,17,172,2018
64,French Polynesia,16,173,2018
167,Solomon Islands,16,174,2018
27,Brunei Darussalam,13,175,2018
35,Cape Verde,13,176,2018
114,Maldives,13,177,2018
196,United States Minor Outlying Islands,12,178,2018
82,Hong Kong,9,179,2018
166,Slovenia,9,180,2018
75,Guam,8,181,2018
156,Saint Kitts and Nevis,8,182,2018
72,Greenland,7,183,2018
159,Sao Tome and Principe,6,184,2018
6,Antigua and Barbuda,5,185,2018
26,British Virgin Islands,5,186,2018
135,Northern Mariana Islands,5,187,2018
189,Turks and Caicos Islands,5,188,2018
203,Western Sahara,5,189,2018
74,Guadeloupe,3,190,2018
117,Martinique,3,191,2018
164,Singapore,3,192,2018
3,American Samoa,2,193,2018
4,Andorra,2,194,2018
9,Aruba,2,195,2018
65,French Southern and Antarctic Lands,2,196,2018
116,Malta,2,197,2018
184,Tonga,2,198,2018
197,United States Virgin Islands,2,199,2018
73,Grenada,1,200,2018
84,Iceland,1,201,2018
90,Isle of Man,1,202,2018
98,Kiribati,1,203,2018
123,Montserrat,1,204,2018
154,Saint Barthelemy,1,205,2018
155,Saint Helena,1,206,2018
157,Saint Vincent and the Grenadines,1,207,2018
