,country,count,rank,year
49,Democratic Republic of the Congo,459143,1,2018
10,Australia,306623,2,2018
5,Angola,299329,3,2018
152,Russia,267039,4,2018
172,Sudan,241425,5,2018
25,Brazil,231844,6,2018
205,Zambia,194892,7,2018
36,Central African Republic,188835,8,2018
125,Mozambique,144942,9,2018
195,United States,131221,10,2018
85,India,91039,11,2018
39,China,78455,12,2018
194,United Republic of Tanzania,69206,13,2018
133,Nigeria,68619,14,2018
77,Guinea,64134,15,2018
201,Venezuela,63749,16,2018
34,Canada,63643,17,2018
111,Madagascar,63149,18,2018
120,Mexico,61635,19,2018
7,Argentina,55401,20,2018
59,Ethiopia,52934,21,2018
37,Chad,51142,22,2018
22,Bolivia,49895,23,2018
70,Ghana,48942,24,2018
169,South Africa,42947,25,2018
33,Cameroon,42834,26,2018
30,Burma,42611,27,2018
88,Iraq,40566,28,2018
86,Indonesia,37983,29,2018
40,Colombia,31814,30,2018
96,Kazakhstan,30851,31,2018
142,Paraguay,29819,32,2018
32,Cambodia,29005,33,2018
134,None,28521,34,2018
103,Lao People's Democratic Republic,28204,35,2018
87,Iran (Islamic Republic of),27305,36,2018
115,Mali,25275,37,2018
206,Zimbabwe,25195,38,2018
44,Cote d'Ivoire,24063,39,2018
42,Congo,23099,40,2018
163,Sierra Leone,20064,41,2018
190,Uganda,19894,42,2018
191,Ukraine,18971,43,2018
180,Thailand,17938,44,2018
161,Senegal,15153,45,2018
143,Peru,13549,46,2018
138,Pakistan,13077,47,2018
202,Viet Nam,13052,48,2018
20,Benin,12303,49,2018
24,Botswana,10347,50,2018
29,Burkina Faso,9944,51,2018
126,Namibia,9673,52,2018
183,Togo,8960,53,2018
81,Honduras,8140,54,2018
112,Malawi,8067,55,2018
187,Turkey,8055,56,2018
141,Papua New Guinea,7903,57,2018
38,Chile,7172,58,2018
2,Algeria,6792,59,2018
76,Guatemala,6730,60,2018
107,Liberia,5628,61,2018
53,Ecuador,5252,62,2018
131,Nicaragua,5066,63,2018
144,Philippines,4703,64,2018
78,Guinea-Bissau,4398,65,2018
162,Serbia,4115,66,2018
108,Libyan Arab Jamahiriya,3976,67,2018
46,Cuba,3737,68,2018
92,Italy,3585,69,2018
151,Romania,3578,70,2018
113,Malaysia,3284,71,2018
69,Germany,3120,72,2018
127,Nepal,2947,73,2018
188,Turkmenistan,2929,74,2018
94,Japan,2824,75,2018
199,Uzbekistan,2578,76,2018
160,Saudi Arabia,2473,77,2018
15,Bangladesh,2351,78,2018
28,Bulgaria,2299,79,2018
66,Gabon,2278,80,2018
170,Spain,1668,81,2018
97,Kenya,1617,82,2018
62,France,1568,83,2018
79,Guyana,1498,84,2018
