,country,count,rank,year
186,Turkmenistan,2743,75,2019
14,Belarus,2722,76,2019
59,France,2675,77,2019
24,Bulgaria,2599,78,2019
66,Germany,2574,79,2019
196,Uzbekistan,2543,80,2019
172,Swaziland,2288,81,2019
90,Japan,2275,82,2019
63,Gabon,2238,83,2019
158,Saudi Arabia,2007,84,2019
16,Belize,1909,85,2019
9,Azerbaijan,1871,86,2019
77,Guyana,1602,87,2019
50,Ecuador,1517,88,2019
160,Serbia,1429,89,2019
52,El Salvador,1397,90,2019
49,Dominican Republic,1388,91,2019
96,"Korea, Democratic People's Republic of",1241,92,2019
39,Costa Rica,1227,93,2019
135,Oman,1193,94,2019
119,Mongolia,1161,95,2019
144,Portugal,1144,96,2019
51,Egypt,1129,97,2019
169,Sri Lanka,956,98,2019
179,The former Yugoslav Republic of Macedonia,871,99,2019
190,United Kingdom,863,100,2019
195,Uruguay,830,101,2019
20,Bosnia and Herzegovina,806,102,2019
68,Greece,797,103,2019
97,"Korea, Republic of",755,104,2019
128,New Zealand,713,105,2019
143,Poland,614,106,2019
64,Gambia,611,107,2019
98,Kuwait,587,108,2019
15,Belgium,551,109,2019
27,Burundi,506,110,2019
147,Republic of Moldova,496,111,2019
130,Niger,488,112,2019
1,Albania,480,113,2019
8,Austria,480,114,2019
41,Croatia,479,115,2019
99,Kyrgyzstan,476,116,2019
65,Georgia,439,117,2019
81,Hungary,419,118,2019
171,Suriname,370,119,2019
103,Lesotho,353,120,2019
146,Qatar,341,121,2019
120,Montenegro,323,122,2019
180,Timor-Leste,313,123,2019
166,Somalia,310,124,2019
122,Morocco,298,125,2019
126,Netherlands,295,126,2019
148,Reunion,278,127,2019
54,Eritrea,274,128,2019
176,Taiwan,255,129,2019
78,Haiti,252,130,2019
163,Slovakia,251,131,2019
184,Tunisia,248,132,2019
197,Vanuatu,231,133,2019
53,Equatorial Guinea,226,134,2019
151,Rwanda,225,135,2019
173,Sweden,218,136,2019
115,Mauritania,208,137,2019
6,Armenia,197,138,2019
89,Jamaica,197,139,2019
189,United Arab Emirates,186,140,2019
44,Czech Republic,184,141,2019
127,New Caledonia,165,142,2019
183,Trinidad and Tobago,153,143,2019
10,Bahamas,142,144,2019
57,Fiji,133,145,2019
0,Afghanistan,130,146,2019
18,Bhutan,120,147,2019
69,Greenland,118,148,2019
134,Norway,115,149,2019
201,Yemen,114,150,2019
106,Lithuania,108,151,2019
87,Israel,101,152,2019
101,Latvia,101,153,2019
58,Finland,97,154,2019
145,Puerto Rico,96,155,2019
177,Tajikistan,82,156,2019
137,Palestine,67,157,2019
107,Luxembourg,66,158,2019
46,Denmark,61,159,2019
86,Ireland,60,160,2019
60,French Guiana,49,161,2019
174,Switzerland,46,162,2019
92,Jordan,42,163,2019
47,Djibouti,40,164,2019
102,Lebanon,39,165,2019
23,Brunei Darussalam,36,166,2019
37,Comoros,32,167,2019
116,Mauritius,30,168,2019
164,Slovenia,27,169,2019
55,Estonia,26,170,2019
72,Guam,18,171,2019
156,Samoa,16,172,2019
193,United States Minor Outlying Islands,15,173,2019
43,Cyprus,14,174,2019
61,French Polynesia,14,175,2019
133,Northern Mariana Islands,14,176,2019
157,Sao Tome and Principe,11,177,2019
13,Barbados,10,178,2019
111,Maldives,10,179,2019
11,Bahrain,9,180,2019
182,Tonga,8,181,2019
165,Solomon Islands,7,182,2019
31,Cape Verde,5,183,2019
48,Dominica,5,184,2019
153,Saint Kitts and Nevis,5,185,2019
71,Guadeloupe,4,186,2019
80,Hong Kong,4,187,2019
121,Montserrat,4,188,2019
162,Singapore,3,189,2019
114,Martinique,2,190,2019
117,Mayotte,2,191,2019
154,Saint Lucia,2,192,2019
3,Andorra,1,193,2019
62,French Southern and Antarctic Lands,1,194,2019
70,Grenada,1,195,2019
74,Guernsey,1,196,2019
91,Jersey,1,197,2019
95,Kiribati,1,198,2019
113,Malta,1,199,2019
152,Saint Helena,1,200,2019
155,Saint Vincent and the Grenadines,1,201,2019
194,United States Virgin Islands,1,202,2019
200,Western Sahara,1,203,2019
