,country,count,rank,year
45,Democratic Republic of the Congo,444290,1,2019
4,Angola,356071,2,2019
150,Russia,354495,3,2019
22,Brazil,274083,4,2019
202,Zambia,189580,5,2019
7,Australia,152750,6,2019
123,Mozambique,116948,7,2019
192,United States,87699,8,2019
118,Mexico,83207,9,2019
32,Central African Republic,81955,10,2019
170,Sudan,71483,11,2019
19,Bolivia,70640,12,2019
35,China,70535,13,2019
83,Indonesia,65817,14,2019
191,United Republic of Tanzania,64578,15,2019
198,Venezuela,64292,16,2019
82,India,57888,17,2019
26,Burma,57658,18,2019
75,Guinea,57608,19,2019
100,Lao People's Democratic Republic,48239,20,2019
93,Kazakhstan,45812,21,2019
131,Nigeria,40335,22,2019
85,Iraq,38404,23,2019
5,Argentina,38044,24,2019
108,Madagascar,37735,25,2019
30,Canada,36530,26,2019
56,Ethiopia,36252,27,2019
167,South Africa,33350,28,2019
140,Paraguay,30067,29,2019
178,Thailand,29730,30,2019
28,Cambodia,27933,31,2019
29,Cameroon,26678,32,2019
36,Colombia,25213,33,2019
67,Ghana,24698,34,2019
161,Sierra Leone,23750,35,2019
188,Ukraine,22369,36,2019
38,Congo,20356,37,2019
203,Zimbabwe,18928,38,2019
84,Iran (Islamic Republic of),17927,39,2019
199,Viet Nam,15654,40,2019
141,Peru,15489,41,2019
33,Chad,15248,42,2019
40,Cote d'Ivoire,14529,43,2019
104,Liberia,13240,44,2019
112,Mali,12111,45,2019
187,Uganda,10376,46,2019
79,Honduras,9969,47,2019
159,Senegal,8938,48,2019
73,Guatemala,8670,49,2019
2,Algeria,7365,50,2019
136,Pakistan,7295,51,2019
142,Philippines,6440,52,2019
21,Botswana,6160,53,2019
17,Benin,5959,54,2019
109,Malawi,5932,55,2019
34,Chile,5808,56,2019
129,Nicaragua,5204,57,2019
185,Turkey,4839,58,2019
88,Italy,4782,59,2019
175,Syrian Arab Republic,4731,60,2019
76,Guinea-Bissau,4664,61,2019
181,Togo,4393,62,2019
124,Namibia,4319,63,2019
110,Malaysia,4213,64,2019
149,Romania,4113,65,2019
42,Cuba,4084,66,2019
125,Nepal,3798,67,2019
25,Burkina Faso,3630,68,2019
105,Libyan Arab Jamahiriya,3497,69,2019
139,Papua New Guinea,3480,70,2019
94,Kenya,3034,71,2019
138,Panama,2979,72,2019
168,Spain,2816,73,2019
12,Bangladesh,2762,74,2019
