,country,count,rank,year
152,Russia,483738,1,2012
8,Australia,474251,2,2012
45,Democratic Republic of the Congo,413440,3,2012
22,Brazil,402055,4,2012
4,Angola,313669,5,2012
204,Zambia,218784,6,2012
172,Sudan,209816,7,2012
123,Mozambique,149839,8,2012
32,Central African Republic,146426,9,2012
195,United States,137242,10,2012
194,United Republic of Tanzania,95561,11,2012
35,China,95397,12,2012
83,India,93134,13,2012
26,Burma,81025,14,2012
74,Guinea,79794,15,2012
84,Indonesia,70877,16,2012
118,Mexico,66671,17,2012
132,Nigeria,66141,18,2012
5,Argentina,61888,19,2012
108,Madagascar,59597,20,2012
93,Kazakhstan,58455,21,2012
33,Chad,57322,22,2012
55,Ethiopia,55191,23,2012
169,South Africa,48096,24,2012
67,Ghana,47432,25,2012
29,Cameroon,43978,26,2012
40,Cote d'Ivoire,43179,27,2012
19,Bolivia,41747,28,2012
100,Lao People's Democratic Republic,40186,29,2012
30,Canada,40141,30,2012
86,Iraq,37273,31,2012
142,Paraguay,36775,32,2012
200,Venezuela,35899,33,2012
124,Namibia,34800,34,2012
163,Sierra Leone,33973,35,2012
180,Thailand,30725,36,2012
28,Cambodia,30659,37,2012
112,Mali,30447,38,2012
205,Zimbabwe,27732,39,2012
190,Uganda,26764,40,2012
134,None,26751,41,2012
36,Colombia,22840,42,2012
38,Congo,20988,43,2012
201,Viet Nam,20252,44,2012
191,Ukraine,19668,45,2012
143,Peru,18604,46,2012
17,Benin,18491,47,2012
2,Algeria,15920,48,2012
160,Senegal,15836,49,2012
85,Iran (Islamic Republic of),14991,50,2012
25,Burkina Faso,14035,51,2012
21,Botswana,13994,52,2012
138,Pakistan,12253,53,2012
109,Malawi,12192,54,2012
104,Liberia,12075,55,2012
183,Togo,10513,56,2012
119,Mongolia,9525,57,2012
72,Guatemala,9102,58,2012
151,Romania,8490,59,2012
89,Italy,7901,60,2012
34,Chile,7406,61,2012
187,Turkey,7059,62,2012
170,Spain,6191,63,2012
94,Kenya,6076,64,2012
75,Guinea-Bissau,5664,65,2012
110,Malaysia,5577,66,2012
42,Cuba,5487,67,2012
141,Papua New Guinea,5366,68,2012
105,Libyan Arab Jamahiriya,4116,69,2012
24,Bulgaria,3932,70,2012
49,Ecuador,3783,71,2012
1,Albania,3776,72,2012
161,Serbia,3715,73,2012
79,Honduras,3680,74,2012
188,Turkmenistan,3558,75,2012
146,Portugal,3554,76,2012
125,Nepal,3518,77,2012
20,Bosnia and Herzegovina,3474,78,2012
12,Bangladesh,3419,79,2012
144,Philippines,3266,80,2012
130,Nicaragua,3174,81,2012
63,Gabon,2553,82,2012
159,Saudi Arabia,2499,83,2012
198,Uzbekistan,2376,84,2012
59,France,2176,85,2012
68,Greece,2100,86,2012
76,Guyana,1948,87,2012
174,Swaziland,1930,88,2012
66,Germany,1872,89,2012
48,Dominican Republic,1851,90,2012
171,Sri Lanka,1816,91,2012
181,The former Yugoslav Republic of Macedonia,1677,92,2012
91,Japan,1639,93,2012
41,Croatia,1607,94,2012
140,Panama,1572,95,2012
120,Montenegro,1563,96,2012
14,Belarus,1496,97,2012
81,Hungary,1415,98,2012
177,Syrian Arab Republic,1256,99,2012
197,Uruguay,1256,100,2012
50,Egypt,1214,101,2012
145,Poland,1207,102,2012
39,Costa Rica,1206,103,2012
10,Azerbaijan,1079,104,2012
98,Kuwait,1072,105,2012
131,Niger,960,106,2012
96,"Korea, Democratic People's Republic of",954,107,2012
173,Suriname,891,108,2012
148,Qatar,890,109,2012
64,Gambia,869,110,2012
16,Belize,863,111,2012
51,El Salvador,862,112,2012
193,United Kingdom,862,113,2012
182,Timor-Leste,827,114,2012
168,Somalia,746,115,2012
65,Georgia,688,116,2012
137,Oman,671,117,2012
149,Republic of Moldova,663,118,2012
9,Austria,646,119,2012
27,Burundi,559,120,2012
129,New Zealand,550,121,2012
97,"Korea, Republic of",547,122,2012
18,Bhutan,508,123,2012
203,Yemen,506,124,2012
165,Slovakia,498,125,2012
60,French Guiana,490,126,2012
116,Mauritania,468,127,2012
199,Vanuatu,440,128,2012
15,Belgium,436,129,2012
122,Morocco,403,130,2012
186,Tunisia,364,131,2012
99,Kyrgyzstan,363,132,2012
6,Armenia,354,133,2012
77,Haiti,346,134,2012
53,Eritrea,344,135,2012
126,Netherlands,254,136,2012
90,Jamaica,236,137,2012
57,Fiji,230,138,2012
0,Afghanistan,218,139,2012
192,United Arab Emirates,218,140,2012
178,Taiwan,206,141,2012
44,Czech Republic,201,142,2012
153,Rwanda,178,143,2012
11,Bahamas,160,144,2012
103,Lesotho,133,145,2012
175,Sweden,133,146,2012
58,Finland,122,147,2012
147,Puerto Rico,104,148,2012
43,Cyprus,98,149,2012
88,Israel,95,150,2012
52,Equatorial Guinea,92,151,2012
56,Falkland Islands (Malvinas),87,152,2012
179,Tajikistan,87,153,2012
136,Norway,78,154,2012
176,Switzerland,77,155,2012
106,Lithuania,73,156,2012
46,Denmark,63,157,2012
185,Trinidad and Tobago,61,158,2012
102,Lebanon,56,159,2012
87,Ireland,52,160,2012
101,Latvia,49,161,2012
128,New Caledonia,46,162,2012
167,Solomon Islands,42,163,2012
107,Luxembourg,34,164,2012
117,Mauritius,34,165,2012
157,Samoa,31,166,2012
37,Comoros,24,167,2012
69,Greenland,23,168,2012
23,Brunei Darussalam,22,169,2012
166,Slovenia,22,170,2012
61,French Polynesia,19,171,2012
139,Palestine,19,172,2012
111,Maldives,14,173,2012
135,Northern Mariana Islands,14,174,2012
158,Sao Tome and Principe,12,175,2012
92,Jordan,11,176,2012
54,Estonia,10,177,2012
150,Reunion,9,178,2012
70,Guadeloupe,8,179,2012
47,Djibouti,7,180,2012
164,Singapore,7,181,2012
31,Cape Verde,6,182,2012
155,Saint Kitts and Nevis,6,183,2012
13,Barbados,5,184,2012
71,Guam,4,185,2012
80,Hong Kong,4,186,2012
127,Netherlands Antilles,4,187,2012
184,Tonga,4,188,2012
121,Montserrat,3,189,2012
3,American Samoa,2,190,2012
73,Guernsey,2,191,2012
82,Iceland,2,192,2012
95,Kiribati,2,193,2012
133,Niue,2,194,2012
154,Saint Helena,2,195,2012
156,Saint Lucia,2,196,2012
196,United States Minor Outlying Islands,2,197,2012
7,Aruba,1,198,2012
62,French Southern and Antarctic Lands,1,199,2012
78,Heard Island and McDonald Islands,1,200,2012
113,Malta,1,201,2012
114,Marshall Islands,1,202,2012
115,Martinique,1,203,2012
162,Seychelles,1,204,2012
189,Turks and Caicos Islands,1,205,2012
202,Western Sahara,1,206,2012
