,country,count,rank,year
48,Democratic Republic of the Congo,424430,1,2014
151,Russia,346474,2,2014
23,Brazil,311336,3,2014
4,Angola,306760,4,2014
8,Australia,256358,5,2014
169,Sudan,217817,6,2014
201,Zambia,199773,7,2014
35,Central African Republic,160273,8,2014
122,Mozambique,153742,9,2014
38,China,150539,10,2014
85,Indonesia,114811,11,2014
192,United States,98786,12,2014
32,Canada,79175,13,2014
75,Guinea,77750,14,2014
84,India,76377,15,2014
191,United Republic of Tanzania,76014,16,2014
28,Burma,68367,17,2014
109,Madagascar,60310,18,2014
197,Venezuela,59104,19,2014
131,Nigeria,57430,20,2014
188,Ukraine,51633,21,2014
166,South Africa,49697,22,2014
69,Ghana,47092,23,2014
58,Ethiopia,46642,24,2014
101,Lao People's Democratic Republic,42564,25,2014
36,Chad,41929,26,2014
117,Mexico,41030,27,2014
94,Kazakhstan,40496,28,2014
30,Cambodia,40202,29,2014
87,Iraq,40074,30,2014
31,Cameroon,39290,31,2014
6,Argentina,36806,32,2014
160,Sierra Leone,35260,33,2014
113,Mali,30804,34,2014
178,Thailand,30786,35,2014
43,Cote d'Ivoire,30274,36,2014
141,Paraguay,29756,37,2014
39,Colombia,29631,38,2014
20,Bolivia,28747,39,2014
202,Zimbabwe,24467,40,2014
198,Viet Nam,23176,41,2014
41,Congo,18940,42,2014
187,Uganda,17841,43,2014
158,Senegal,17548,44,2014
18,Benin,16038,45,2014
86,Iran (Islamic Republic of),15920,46,2014
27,Burkina Faso,12600,47,2014
123,Namibia,11566,48,2014
2,Algeria,11287,49,2014
105,Liberia,11056,50,2014
142,Peru,10701,51,2014
137,Pakistan,10369,52,2014
181,Togo,9365,53,2014
110,Malawi,8882,54,2014
111,Malaysia,8440,55,2014
83,Iceland,8236,56,2014
80,Honduras,8118,57,2014
74,Guatemala,7685,58,2014
22,Botswana,7298,59,2014
37,Chile,7146,60,2014
140,Papua New Guinea,6779,61,2014
185,Turkey,6767,62,2014
129,Nicaragua,5481,63,2014
143,Philippines,5395,64,2014
76,Guinea-Bissau,5187,65,2014
90,Italy,4900,66,2014
97,"Korea, Democratic People's Republic of",4631,67,2014
45,Cuba,4547,68,2014
150,Romania,4295,69,2014
186,Turkmenistan,3443,70,2014
124,Nepal,3402,71,2014
15,Belarus,3285,72,2014
118,Mongolia,3203,73,2014
195,Uzbekistan,3155,74,2014
13,Bangladesh,2930,75,2014
167,Spain,2601,76,2014
106,Libyan Arab Jamahiriya,2554,77,2014
95,Kenya,2517,78,2014
52,Ecuador,2374,79,2014
172,Swaziland,2349,80,2014
157,Saudi Arabia,2287,81,2014
68,Germany,2246,82,2014
92,Japan,2113,83,2014
65,Gabon,2088,84,2014
62,France,1936,85,2014
77,Guyana,1861,86,2014
148,Republic of Moldova,1820,87,2014
139,Panama,1744,88,2014
26,Bulgaria,1706,89,2014
53,Egypt,1678,90,2014
99,Kuwait,1528,91,2014
51,Dominican Republic,1518,92,2014
70,Greece,1373,93,2014
168,Sri Lanka,1369,94,2014
42,Costa Rica,1340,95,2014
54,El Salvador,1211,96,2014
180,Timor-Leste,1147,97,2014
17,Belize,1127,98,2014
144,Poland,997,99,2014
60,Fiji,990,100,2014
194,Uruguay,873,101,2014
10,Azerbaijan,828,102,2014
128,New Zealand,827,103,2014
175,Syrian Arab Republic,808,104,2014
136,Oman,800,105,2014
130,Niger,769,106,2014
98,"Korea, Republic of",761,107,2014
159,Serbia,757,108,2014
66,Gambia,750,109,2014
173,Sweden,692,110,2014
165,Somalia,671,111,2014
170,Suriname,652,112,2014
9,Austria,627,113,2014
190,United Kingdom,624,114,2014
104,Lesotho,622,115,2014
145,Portugal,622,116,2014
67,Georgia,603,117,2014
196,Vanuatu,601,118,2014
82,Hungary,591,119,2014
179,The former Yugoslav Republic of Macedonia,586,120,2014
184,Tunisia,581,121,2014
147,Qatar,578,122,2014
29,Burundi,522,123,2014
33,Cape Verde,507,124,2014
16,Belgium,493,125,2014
200,Yemen,444,126,2014
19,Bhutan,403,127,2014
189,United Arab Emirates,399,128,2014
100,Kyrgyzstan,394,129,2014
162,Slovakia,358,130,2014
176,Taiwan,335,131,2014
21,Bosnia and Herzegovina,308,132,2014
63,French Guiana,282,133,2014
7,Armenia,281,134,2014
125,Netherlands,277,135,2014
56,Eritrea,267,136,2014
78,Haiti,259,137,2014
47,Czech Republic,256,138,2014
55,Equatorial Guinea,250,139,2014
91,Jamaica,237,140,2014
127,New Caledonia,215,141,2014
115,Mauritania,210,142,2014
121,Morocco,193,143,2014
0,Afghanistan,189,144,2014
44,Croatia,177,145,2014
177,Tajikistan,153,146,2014
11,Bahamas,149,147,2014
152,Rwanda,137,148,2014
183,Trinidad and Tobago,137,149,2014
135,Norway,128,150,2014
61,Finland,124,151,2014
1,Albania,121,152,2014
102,Latvia,110,153,2014
146,Puerto Rico,91,154,2014
107,Lithuania,83,155,2014
89,Israel,82,156,2014
50,Djibouti,80,157,2014
49,Denmark,79,158,2014
116,Mauritius,69,159,2014
174,Switzerland,68,160,2014
119,Montenegro,65,161,2014
46,Cyprus,55,162,2014
40,Comoros,42,163,2014
103,Lebanon,40,164,2014
14,Barbados,33,165,2014
93,Jordan,33,166,2014
25,Brunei Darussalam,32,167,2014
108,Luxembourg,31,168,2014
88,Ireland,29,169,2014
155,Samoa,28,170,2014
57,Estonia,26,171,2014
138,Palestine,24,172,2014
164,Solomon Islands,24,173,2014
71,Greenland,17,174,2014
73,Guam,14,175,2014
64,French Polynesia,13,176,2014
153,Saint Kitts and Nevis,13,177,2014
182,Tonga,13,178,2014
112,Maldives,12,179,2014
149,Reunion,12,180,2014
126,Netherlands Antilles,11,181,2014
5,Antigua and Barbuda,8,182,2014
72,Guadeloupe,8,183,2014
161,Singapore,8,184,2014
163,Slovenia,8,185,2014
81,Hong Kong,7,186,2014
193,United States Minor Outlying Islands,7,187,2014
59,Falkland Islands (Malvinas),6,188,2014
114,Martinique,5,189,2014
96,Kiribati,3,190,2014
134,Northern Mariana Islands,3,191,2014
199,Western Sahara,3,192,2014
12,Bahrain,2,193,2014
79,Heard Island and McDonald Islands,2,194,2014
156,Sao Tome and Principe,2,195,2014
3,American Samoa,1,196,2014
24,British Virgin Islands,1,197,2014
34,Cayman Islands,1,198,2014
120,Montserrat,1,199,2014
132,Niue,1,200,2014
154,Saint Lucia,1,201,2014
171,Svalbard,1,202,2014
