,country,count,rank,year
154,Reunion,1074,101,2015
155,Romania,3549,71,2015
156,Russia,247294,4,2015
157,Rwanda,326,131,2015
158,Saint Barthelemy,1,209,2015
159,Saint Helena,3,195,2015
160,Saint Kitts and Nevis,18,178,2015
161,Saint Lucia,2,199,2015
162,Samoa,36,170,2015
163,Sao Tome and Principe,2,200,2015
164,Saudi Arabia,2899,74,2015
165,Senegal,11675,53,2015
166,Serbia,1099,100,2015
167,Sierra Leone,35744,34,2015
168,Singapore,5,191,2015
169,Slovakia,359,128,2015
170,Slovenia,8,186,2015
171,Solomon Islands,28,172,2015
172,Somalia,319,132,2015
173,South Africa,37614,33,2015
174,South Georgia South Sandwich Islands,1,210,2015
175,Spain,3170,73,2015
176,Sri Lanka,670,114,2015
177,Sudan,241810,5,2015
178,Suriname,835,106,2015
179,Swaziland,1154,99,2015
180,Sweden,197,148,2015
181,Switzerland,74,159,2015
182,Syrian Arab Republic,2118,84,2015
183,Taiwan,298,136,2015
184,Tajikistan,88,157,2015
185,Thailand,27781,38,2015
186,The former Yugoslav Republic of Macedonia,713,112,2015
187,Timor-Leste,735,110,2015
188,Togo,12801,51,2015
189,Tonga,8,187,2015
190,Trinidad and Tobago,118,151,2015
191,Tunisia,223,143,2015
192,Turkey,18037,46,2015
193,Turkmenistan,2357,78,2015
194,Turks and Caicos Islands,1,211,2015
195,Uganda,23094,42,2015
196,Ukraine,48807,25,2015
197,United Arab Emirates,617,117,2015
198,United Kingdom,848,105,2015
199,United Republic of Tanzania,91824,13,2015
200,United States,146969,11,2015
201,United States Minor Outlying Islands,11,182,2015
202,United States Virgin Islands,8,188,2015
203,Uruguay,2011,88,2015
204,Uzbekistan,1958,89,2015
205,Vanuatu,712,113,2015
206,Venezuela,50152,23,2015
207,Viet Nam,22304,43,2015
208,Yemen,196,149,2015
209,Zambia,219162,7,2015
210,Zimbabwe,26754,39,2015
